5 10 3  4
8 7  49 19
6 10 9  28
6 10 39 289


iteration  0 : Cost = 25333
iteration  1 : Cost = 26192
iteration  2 : Cost = 24730
iteration  3 : Cost = 23426
iteration  4 : Cost = 24593
iteration  5 : Cost = 24396
iteration  6 : Cost = 22915
iteration  7 : Cost = 23030
iteration  8 : Cost = 23072
iteration  9 : Cost = 23380
iteration  10 : Cost = 23229
iteration  11 : Cost = 23153
iteration  12 : Cost = 22888
iteration  13 : Cost = 22888
iteration  14 : Cost = 22888
iteration  15 : Cost = 22888
iteration  16 : Cost = 22888
iteration  17 : Cost = 22888
iteration  18 : Cost = 22888
iteration  19 : Cost = 22888
iteration  20 : Cost = 22888
iteration  21 : Cost = 22888
iteration  22 : Cost = 22888
iteration  23 : Cost = 22888
iteration  24 : Cost = 22888
iteration  25 : Cost = 22888
iteration  26 : Cost = 22888
iteration  27 : Cost = 22888
iteration  28 : Cost = 22888
iteration  29 : Cost = 22888
